AG-X,AG-Y,AG-Z,Acc-X,Acc-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos
-2.1785197,9.174682,1.9598289,-0.3127331,-0.41982555,0.42384863,-0.4710127,9.476241,2.4797993,-0.67288417,-0.036744535,-1.0662086,0.12759234,-0.59876484,-0.7798882,0.13028929
-3.2708578,9.490885,2.7551277,-2.1145349,-0.030398369,0.4149263,-1.1138783,9.350143,2.7394328,-0.54185677,0.12624077,-1.605232,0.1464655,-0.5830143,-0.7919449,0.107076585
-2.8684175,9.304038,2.280823,-1.5969387,0.20833111,-0.38615823,-1.6084974,9.233588,2.8851302,-0.47794098,-0.05591928,-1.573274,0.15485317,-0.57741004,-0.7956006,0.09817248
-1.4167575,7.6272035,3.2390144,0.58094573,-1.4671278,0.26527166,-2.4150069,8.996377,3.0664861,-0.044378713,0.051672343,-1.1311897,0.17926177,-0.55901057,-0.80744064,0.05841276
-1.354475,6.846277,3.938494,0.6690426,-2.3870893,1.1476126,-2.6485643,8.926626,3.0774727,0.03764658,0.15287237,-1.0406423,0.20179608,-0.5510528,-0.80912966,0.03046896
-2.039582,5.3658714,2.8940654,1.0257971,-3.043829,-0.37507606,-3.1716087,8.80066,2.9427319,0.2325898,0.56086826,-0.429181,0.21155623,-0.5512722,-0.8067826,0.021089524
-2.0587456,5.2892165,3.9720309,-0.5267136,-1.1484776,3.342982,-3.453533,8.769374,2.7095363,0.67254364,-0.051658224,-0.37059152,0.22220255,-0.55217093,-0.8033652,0.018377572
-4.3584056,8.594976,8.283893,-1.2178624,0.6415968,6.1184673,-3.558364,8.793773,2.4855592,0.68639207,-0.007982419,-0.090427235,0.23104033,-0.564212,-0.7926353,0.003790525
-4.1188574,5.8545494,5.845295,-0.7193055,-6.989868,0.5498798,-3.561766,8.820533,2.3837838,0.7652216,-0.5022647,0.0544486,-0.22439675,0.57830536,0.7843266,0.006386657
-4.7608457,5.0927873,3.3492064,-1.3727424,-2.8899431,1.2588749,-3.5093179,8.896682,2.1688976,-1.286476,0.016518643,-1.1226676,-0.22306266,0.5828036,0.78135765,0.007950719
8.069338,3.9860756,-0.32066673,0.8012464,3.758996,-2.5167105,-3.9912302,8.4540825,2.9612443,-0.57061887,-1.0775069,0.27921924,-0.23854871,0.54278946,0.80496687,0.022415396
2.9813411,14.52139,0.26383004,6.954261,3.691536,-3.911179,-3.3914678,8.548538,3.4045293,0.9314027,-3.6437268,-0.14475569,-0.18054847,0.5426013,0.81868565,0.052343994
-1.0382719,4.522663,4.1636696,2.21524,-3.8711405,1.432025,-3.361697,8.686072,3.0694494,1.5812135,-0.75579745,-0.6773875,-0.13566507,0.5611801,0.8098355,0.10410711
-0.55438524,4.6807647,6.1135883,2.762305,-4.352209,2.03879,-3.4137137,8.724379,2.8986495,1.542864,-0.7451448,-0.59003586,-0.129655,0.57553214,0.79841167,0.120379366
1.0601673,9.395066,4.9254313,5.241987,0.61753464,4.0861053,-3.740392,8.974942,1.2768162,2.9522076,0.73876727,-0.55807793,-0.124877624,0.64314353,0.7402849,0.1508317
0.77270985,15.920349,3.6989462,3.0379286,8.231645,5.0566707,-3.9842327,8.960673,0.05108072,3.0214498,0.28389978,-0.41959363,-0.13586897,0.6920515,0.6911519,0.15783976
3.8580863,12.231313,1.7586087,7.062833,4.281046,2.7044125,-3.9446046,8.899524,-1.1869959,1.6206282,-0.14540142,-0.069121964,-0.13136636,0.71182644,0.6704819,0.16278824
-2.3989036,8.417711,6.4872837,2.4516187,-0.17450142,7.308495,-3.925714,8.887038,-1.3340607,0.4200762,0.6109357,-0.03290301,-0.11891905,0.7521172,0.6268153,0.16516803
3.2831714,6.4055095,-10.190038,4.9331675,-4.8027706,-10.526644,-3.4723907,9.169948,-0.15794967,-4.9424605,-0.07722455,0.9812279,-0.11527304,0.7199682,0.6683581,0.14715764
2.9669683,27.916906,-1.1255475,6.4274235,16.072735,4.14249,-2.8285499,9.295679,1.3266653,-3.8399127,0.65887254,3.4505088,-0.08641783,0.6401135,0.7566532,0.101304576
1.7261103,28.592432,-4.0767775,2.9315438,19.92448,-8.509579,-1.7543877,9.372727,2.2900884,-4.8689575,2.8991218,3.7338688,-0.075926825,0.61939615,0.77916276,0.059067044
0.92122954,11.349776,7.158017,2.4499493,4.54191,1.3613377,-0.36720315,8.048687,5.5905447,-4.7901278,5.3407054,2.893376,0.11233721,-0.4585217,-0.8645976,0.17207316
0.07323015,3.300969,3.7516468,1.7148824,-3.1892545,-3.1337109,-1.299918,6.900132,6.846078,-1.7072551,4.541758,0.75113094,0.18507314,-0.34437662,-0.8729376,0.29177496
0.92122954,-5.9791145,1.3992869,2.2801862,-12.905796,-4.639615,-2.2491052,6.969926,6.52166,2.182022,1.6314583,0.29413292,0.25590554,-0.31412667,-0.8507713,0.3347014
-0.6645773,2.6158621,-1.6429709,3.8908408,-7.086554,-7.097897,-2.4809332,7.6448393,5.6188784,2.003058,-0.5288963,0.88535416,0.2984098,-0.34775925,-0.82164544,0.33898953
-4.93332,2.7883365,1.8688006,-4.345958,-4.2803826,-3.8232133,-1.5837941,8.121477,5.2634215,0.31354985,-2.016004,0.82996047,0.26694342,-0.39993164,-0.8150475,0.3232545
-8.584029,-2.5487897,-1.3650954,-9.39991,-6.7742257,-9.710487,-1.8154764,8.015013,5.3510733,3.2760477,-4.7260346,0.77776253,0.25589263,-0.3953145,-0.82980645,0.29944387
13.123797,16.231762,1.8448459,11.622587,5.8109007,-4.4104366,-0.3356637,8.927759,4.0438623,3.894966,2.0767384,0.5540572,0.20336908,-0.4873425,-0.80152655,0.28052354
-7.4964824,16.945614,8.226401,-5.320425,6.3392963,7.722693,-1.6371784,9.584357,1.2767599,5.9722295,-0.2785594,-3.7389548,0.26993498,-0.584125,-0.7325806,0.22194315
2.3680987,17.314518,7.2011356,0.9701233,11.739873,7.28005,-2.735576,9.3495,-1.1286572,5.117888,-0.3829552,0.25897923,0.3183333,-0.66861475,-0.66344345,0.1070562
1.2613876,3.1524491,7.1819725,7.3327513,-5.436495,10.998133,-2.90779,8.9208355,-2.8519871,3.6478248,-0.42023942,-1.1876487,0.31971887,-0.73250234,-0.5977847,0.06223872
4.5671477,7.675113,2.1227214,6.2816935,0.19509315,7.8672075,-2.7889137,8.680157,-3.6120944,-0.579141,0.8889694,1.7290429,0.32689363,-0.75893927,-0.56135017,0.04514112
1.7548561,-1.2600222,2.4532974,5.570699,-13.124723,2.3189552,-1.4223545,9.404145,-2.389425,-4.3107595,0.15500289,1.6321039,0.26069456,-0.7497639,-0.59888846,0.10594799
-2.0156271,17.31931,4.609228,-2.6666527,1.005352,3.2645905,-0.8642044,9.763144,-0.32337537,-5.222625,-0.22316565,2.1189294,0.24496914,-0.69123936,-0.66046554,0.1611321
1.8506752,34.13557,-3.7078733,1.5276608,26.403954,-6.7378483,0.7226779,9.487289,2.3747563,-7.389371,1.9148183,4.2941976,0.16749398,-0.6116325,-0.73551965,0.23845798
6.1912823,18.689524,8.92588,5.714738,14.743717,4.913469,2.0970402,7.4583945,6.012085,-6.4061327,5.5068865,3.689128,0.09386821,-0.4439516,-0.7923521,0.40776697
-1.2874017,-2.304451,-0.6895704,-3.8150165,-10.48456,-9.85786,0.7649569,5.850481,7.833076,-4.2393866,6.449645,2.1306474,0.12865423,-0.30169252,-0.79318905,0.51310897
2.8519852,-9.395067,-5.8733864,1.0253367,-16.30086,-11.239864,0.0823983,6.555216,7.293336,4.376465,0.087891296,-0.39828837,0.19646674,-0.2898571,-0.7676202,0.5367895
-0.90412515,3.966912,-6.4722557,-1.0622222,-7.638326,-13.572121,0.16410017,7.822266,5.9123273,4.407357,-0.80693007,-1.0576866,0.23587191,-0.36078325,-0.75111455,0.5000268
-5.5609355,16.150316,7.8766613,-3.2881823,3.6437612,-4.1447487,0.5539908,8.141171,5.4391923,0.9889269,-6.339909,-1.9897921,0.22613882,-0.4049363,-0.7512758,0.469545
-12.560523,17.343264,-2.3328688,-6.5021925,20.10808,-21.80637,1.3525615,8.825331,4.056415,-1.7956719,0.5683251,-4.2225842,0.14687,-0.526536,-0.7542732,0.36367708
-10.050062,1.0252643,8.140163,-16.394205,-5.9604936,2.785926,0.8595721,8.87802,4.0758147,4.4446416,-7.1377916,-0.8105454,0.17083518,-0.5085687,-0.7691686,0.3472072
11.954804,37.431747,1.3609592,16.722757,22.019321,-8.778057,0.58780855,9.749766,-0.8757318,4.031319,-3.5254827,-4.6156664,0.16879956,-0.71101403,-0.6502952,0.20756178
-5.3022237,9.366321,7.3784018,-1.5136815,5.329734,9.49195,-1.018201,9.263234,-3.053876,3.705349,-0.23275302,-2.7930007,0.21183676,-0.77688915,-0.5846601,0.09869651
5.0749893,-1.1019206,0.6854343,3.2986891,-8.508606,4.5908422,-1.6116381,8.913237,-3.75862,2.0914748,-0.32649624,-1.3176109,0.23401208,-0.79107827,-0.56050134,0.072607055
5.3768196,-2.3379877,-0.22963853,7.9125094,-9.865903,3.0026102,-0.75433147,9.076528,-3.6356592,-2.9749186,0.19228712,2.7889802,0.19547041,-0.807308,-0.5512753,0.078362055
-7.5827193,-2.189468,-6.754922,-4.4680414,-3.6343832,4.130908,0.31071925,9.766654,-0.8284436,-4.273475,1.9606247,0.9215731,0.171865,-0.76724815,-0.60466033,0.1271951
-1.0813905,32.607254,7.8431244,-3.215478,5.5911255,1.5320706,0.74745023,9.772398,0.33455682,-5.6625786,-0.52143943,3.794589,0.105220325,-0.6549879,-0.7188952,0.2076276
11.403844,28.463076,10.894964,7.160536,21.716019,6.4454484,3.3916566,7.7588544,4.9464364,-6.596815,4.395817,5.2358904,0.013782134,-0.524855,-0.78364563,0.3320193
-2.5378413,-4.9011493,-2.754473,5.438087,10.879608,3.7595086,3.5476718,6.748787,6.1675186,-2.0492046,7.2059817,1.1218426,0.030203866,-0.34955612,-0.80412686,0.47987312
2.2818613,-10.305349,-10.966173,0.7405058,-15.852169,-17.32362,1.1775072,6.1081166,7.581212,3.6829784,-0.60239947,-1.3378508,0.11712385,-0.29378173,-0.79066396,0.52423733
-2.8971632,-2.6014903,-7.856842,-4.048775,-9.426487,-13.413751,1.4127492,7.302508,6.391237,5.5876694,-3.6735542,-1.3687434,0.13971363,-0.38106984,-0.7839359,0.46979818
-9.676367,36.79455,18.9294,-4.3848076,12.467175,6.9839177,1.7298181,8.707573,4.1660876,0.2677435,-2.1907074,-1.1343855,0.11607804,-0.52270913,-0.77217877,0.34211254
2.9046857,16.337162,-25.899586,5.7955484,45.887054,-12.697113,2.1379774,8.52727,4.3457003,-2.3400216,-1.0870943,0.9790973,0.08541883,-0.5233765,-0.78499854,0.32024667
6.751824,2.6877265,5.581793,-2.0014222,-23.777779,-4.2743883,2.8174016,8.735531,3.4529896,3.9919047,0.2508766,-1.0140107,0.025647396,-0.56235474,-0.77270764,0.29329544
-3.7307897,30.815435,-8.934808,0.9725524,20.11721,-10.138481,1.0987582,9.739109,0.33595666,5.5535808,-2.30256,-5.2335196,0.094878435,-0.6675861,-0.7060905,0.21624762
-2.5953329,7.152899,2.7072182,-7.1405783,24.475304,14.382654,0.18008293,9.790538,-0.53229195,3.3570077,-1.3885639,-2.7471943,0.12640002,-0.7054783,-0.67913395,0.15843135
2.3010252,3.621963,4.8966856,-0.005531073,-5.0305405,7.2157288,-1.6199733,9.212036,-2.9469407,1.7314156,0.2530071,-0.55488217,0.16621491,-0.78660524,-0.5942109,0.023198232
12.409945,2.1942577,-2.9173656,17.140808,-5.1611385,4.330575,-1.3206985,9.177733,-3.193017,-0.66223156,-0.3328878,2.2126727,0.16151759,-0.7972321,-0.58123183,0.022419455
-2.68157,6.1563797,0.8052082,-1.6302509,-5.2049837,-2.594364,0.4628092,9.75917,-0.8454619,-5.4537873,3.1377409,2.484315,0.10655215,-0.7425215,-0.65174484,0.11196907
-5.7717376,29.74226,9.242084,-8.148869,17.913818,5.9663944,1.4473326,9.630556,1.152391,-5.461244,-0.88043326,3.984206,0.086627394,-0.66690433,-0.7144185,0.19323702
13.181289,22.996593,10.799145,5.48876,18.243603,3.2346206,4.207495,7.6676555,4.4355874,-6.1664486,2.9172313,5.5576,-0.02957475,-0.56947356,-0.76802653,0.29147983
-2.2887118,-3.181196,1.1214113,-4.806754,-6.383923,-4.641982,3.758422,5.539238,7.166693,0.079191856,5.9361877,1.1591269,-0.04041325,-0.38100547,-0.8021589,0.45797676
-1.7760793,-7.200809,-10.870354,-6.0438285,-10.301401,-12.409517,2.8062541,6.2421427,7.0236015,3.984448,-0.04100559,-1.573274,0.047474388,-0.36748645,-0.7852443,0.4960759
-4.741682,-12.648128,-13.237087,-7.2293215,-19.203745,-15.2891865,2.638177,6.902895,6.4467397,4.342376,-2.4474359,-2.7269545,0.071843304,-0.39919665,-0.7776447,0.48036376
-1.354475,12.719991,-4.1630144,-2.8752918,1.9915285,-8.881226,2.4304044,8.433236,4.375392,3.519993,-3.438131,-2.8238933,0.099307515,-0.5080401,-0.75844973,0.39596382
6.857225,33.82895,-5.3128443,-0.33305454,31.091726,6.73318,2.5162244,8.569563,4.0498896,-2.9205902,-5.090355,2.3745928,0.05928826,-0.54075426,-0.7792502,0.3111893
1.6063365,-7.416402,-5.2984715,-4.4898133,-24.610413,-5.3089256,3.6111069,8.620708,2.9687855,4.4691424,0.9688642,-2.2134974,-0.029406274,-0.5842618,-0.7593542,0.28487667
7.2644567,31.898191,-3.3820882,1.147579,22.075119,-12.521619,2.0362659,9.592893,-0.020359343,6.878769,-2.9683497,-4.0766435,0.057030223,-0.69373363,-0.68400216,0.21822523
-0.11361718,17.57323,-1.1015928,-2.4423528,13.143279,10.565721,0.01958391,9.32854,-3.0246246,3.386835,-2.20136,-3.1008618,0.098896466,-0.7975959,-0.58918613,0.08318634
12.754894,0.59407824,5.9938145,15.722805,-10.52738,10.034973,-1.0341318,8.866366,-4.0606046,0.564952,0.14754605,0.57855827,0.115008965,-0.82228476,-0.5565219,0.030068468
-0.56396717,-1.5043609,3.5743814,0.090363815,-10.674312,6.9015026,-0.078908615,9.072877,-3.7211645,-0.4715494,0.3882956,2.132778,0.080448546,-0.82659215,-0.5548507,0.049133915
-6.0975227,2.1415572,-0.5410508,-4.157736,-8.571505,5.0055027,0.29589856,9.368942,-2.8819695,-3.8846538,1.832793,1.0472742,0.07234274,-0.8104101,-0.57793665,0.06317613
1.5680088,31.888609,3.9193304,1.1608516,23.711689,7.237594,1.1536155,9.732094,0.35482216,-5.622099,-1.065789,2.942378,0.07204809,-0.70866144,-0.68763536,0.14059061
13.756204,23.461315,8.394085,7.974959,16.043892,5.5141068,3.087854,8.279018,4.253633,-6.1653833,4.335097,3.4622266,-0.028829658,-0.54444975,-0.8029024,0.24102093
0.7918737,2.8889465,-1.6717166,-1.4388673,-3.6045485,-8.194051,2.8543832,6.985077,6.263512,-2.142948,5.173459,1.0238384,-0.01546922,-0.44071648,-0.8386593,0.3196565
-2.374949,-10.889846,-3.1617043,-4.1695833,-16.682968,-9.528338,2.022736,6.7175303,6.852278,1.1764133,1.0359759,-0.54955584,0.041755643,-0.38626155,-0.8453838,0.36658514
-0.55438524,-17.21391,-4.9631042,-2.3540318,-24.114136,-10.918469,2.0119197,7.5677924,5.90348,5.0869956,-2.5987034,-1.1088191,0.055666845,-0.47205502,-0.81869304,0.32219082
3.0819511,25.63162,19.590551,1.333811,9.792026,6.371622,2.0920918,8.798958,3.7910252,-1.7179077,-2.6668801,-0.03929459,0.07541446,-0.5486716,-0.77848417,0.29535496
-12.421586,41.096832,1.4040779,-7.575996,32.657265,-6.2531223,1.6712182,8.502592,4.59166,-3.6737316,-1.1755111,-0.004140892,0.06571041,-0.5190839,-0.80686736,0.27422458
2.7178385,-7.2103906,0.15363804,-1.6833832,-25.651094,-7.206747,2.8089776,8.703406,3.5398812,3.3953571,-1.8274524,-0.857417,0.019668309,-0.5491412,-0.7893428,0.27385205
10.98224,16.586292,-5.2313976,6.705412,3.2624502,0.14652634,2.636457,9.240536,1.9575392,7.9546847,0.5928262,-0.75621694,0.014788339,-0.6102971,-0.753435,0.24424264
-13.590579,13.438634,18.316156,-10.32324,9.33551,17.071291,1.8444928,9.542641,-1.3062335,6.166107,-4.8954115,-2.402049,0.044105988,-0.7830744,-0.60928607,0.11670321
10.752274,11.119811,1.1789029,6.4333076,4.966341,10.812019,-0.6788102,9.14177,-3.4839108,0.36574775,-6.7351217,-0.9394423,0.051221084,-0.8228603,-0.56585395,0.009304471
20.521036,-2.3427784,-5.902132,21.09414,-8.53827,-4.7041607,-1.086096,9.167021,-3.3100595,-1.0265517,-8.555656,2.719738,0.009117674,0.81932175,0.5685699,0.07319138
10.091122,-1.1115025,-2.4909704,11.150952,-11.577417,0.41521192,0.9184921,9.654174,-1.4572917,-3.5799882,1.5654119,2.9849887,0.16627021,0.7439192,0.64122736,0.08812405
-8.057024,29.234419,2.2281225,-9.246092,15.602856,6.246272,1.7610987,9.634226,-0.5006234,-3.8718705,1.2010918,4.959987,0.17629445,0.7090585,0.68057144,0.054578345
-3.6062248,29.157764,12.820929,-6.6828213,23.053629,9.191874,4.930874,8.219516,2.0727818,-5.129947,1.4833866,6.838047,-0.28239065,-0.5759628,-0.7668017,0.023184922
9.707845,22.12943,2.4628794,3.4902864,15.625742,0.727875,6.0144663,6.086316,4.7909646,-5.465505,6.721287,5.0867534,-0.29981875,-0.42504713,-0.8440827,0.13026124
-9.59013,-7.8092604,3.2533872,-11.012695,-5.2548256,-4.016261,4.610797,5.21539,6.907289,0.6789352,1.9361236,-1.3623519,-0.19577461,-0.32885835,-0.904725,0.1870751
3.2544258,5.111951,-0.842881,-8.389912,-17.642193,-10.175249,4.287695,7.214876,5.072635,4.0856476,-6.177989,-0.6965622,-0.18789701,-0.42912,-0.8762523,0.11283877
2.1429236,11.689935,1.720281,6.4927864,8.40559,10.726529,4.976761,7.5771656,3.7401614,1.5449945,-0.85380167,-0.7423685,-0.25102755,-0.4830594,-0.8351174,0.07885235
-6.212506,36.02321,-1.0584741,-8.387812,1.7518315,-23.619616,4.592835,8.184727,2.8436785,-1.4047202,-6.9439135,-2.119754,-0.25660315,-0.52718914,-0.8085058,0.05044709
1.6782008,-5.3658724,-12.887347,-2.2903914,-13.863302,-15.473176,3.7679553,8.473541,3.1893578,6.3440065,-9.041417,2.5855148,0.27634543,0.5303565,0.8008317,0.031997714
15.634259,23.93083,0.25903907,10.564178,14.784711,1.5004928,4.779257,8.518374,0.8754377,3.3996184,-5.425913,-3.1211019,0.34401795,0.61210704,0.7117902,0.018203253
-4.7704277,18.655987,5.342244,-8.476161,8.216578,7.7510724,2.7411115,9.07204,-2.5208702,3.653151,-4.743079,-2.1815395,0.37812293,0.68999666,0.60577035,0.11819476
4.3371816,8.628513,3.7947655,1.779296,-1.2730246,8.26338,1.2607687,8.8094,-4.120113,1.898662,-2.1789894,-1.7884573,0.40024102,0.7307564,0.5257593,0.17140426
9.3197775,1.7918174,6.056097,1.6473321,-5.3343964,14.057743,0.98138654,8.631739,-4.549766,0.41901094,-1.8924335,0.8011983,0.4092285,0.7489193,0.482327,0.19751588
9.137721,-0.9773557,-0.76622576,4.9002037,-9.982733,6.508557,1.3528278,8.64674,-4.424267,-2.4763753,0.15287237,3.2118897,0.48304093,0.69242704,0.49745584,0.19938399
-12.325767,9.61545,-9.509722,-5.072702,-1.7621083,9.874105,3.0848262,9.0327215,-2.2503707,-4.0050287,3.0035176,1.3327649,0.49586618,0.6584213,0.5323757,0.19280617
-8.330109,26.340681,4.12055,-8.72855,32.484024,6.5854993,3.1568322,9.2205,-1.0895783,-6.2431474,-1.854084,2.8603528,0.4724531,0.5037151,0.6716358,0.26826197
18.853783,26.120296,8.197656,8.598793,20.800926,4.3998985,4.7975087,8.133616,2.6454792,-7.9283943,3.325227,4.5573177,0.47281298,0.41834366,0.72606015,0.2725309
-2.0827005,-1.4995701,1.4807332,-9.198207,-8.117378,-7.4493623,4.9149,6.26201,5.727248,-0.79325897,3.8312273,-0.12558094,0.3000487,0.23959005,0.88773656,0.25395107
-2.6576154,-6.980425,-2.7832186,-6.8295507,-12.408957,-8.7186775,3.46337,5.6335526,7.2414465,3.705349,-3.6213562,-2.2774131,0.26879328,0.2546583,0.89471614,0.24976453
-3.3475132,-9.361531,-6.7645044,-1.6014109,-7.3112693,-4.5693207,3.990758,7.197575,5.332837,4.236915,-3.7832763,-0.59642744,0.35757685,0.31660667,0.82833207,0.29285657
-5.249523,49.586407,-2.3280778,-1.7974648,64.936035,28.015713,4.130722,8.144151,3.5749612,-1.8936762,-1.4684587,-1.4454424,0.46973994,0.34030282,0.72786254,0.36572465
-8.804413,-29.641653,-7.3394184,-24.274225,-38.627094,5.8061523,4.2344294,8.157554,3.419695,3.2185235,-0.7675153,-0.18843149,0.45103988,0.3046246,0.7304013,0.41265094
15.576768,44.110344,-3.5737267,5.488694,17.146154,-10.343889,4.4402537,8.497359,2.0614085,2.3588557,-2.577398,-0.61879796,0.5538867,0.34991762,0.6428786,0.39683032
14.853333,16.859377,-4.728347,5.243289,3.666462,0.052777886,2.9691765,9.247537,-1.3555247,4.8419847,-4.1944685,-0.6773875,0.5800571,0.39257735,0.5773002,0.4196919
4.97917,13.941685,11.091393,6.359197,7.5796633,15.15756,1.2175555,9.222342,-3.10425,2.6113234,-4.784624,-4.107536,0.6590048,0.42854488,0.45529237,0.418056
0.18821311,1.40375,8.762988,-4.240174,-6.67828,16.441568,0.35664672,8.977181,-3.93108,3.1471508,-0.65353215,-1.6062973,0.6737843,0.4813013,0.3545832,0.43432078
14.062825,-3.4351168,-1.3890501,13.502395,-11.974531,2.4446115,0.27193877,8.746172,-4.427292,0.19104452,-0.50013417,3.1852582,0.6986018,0.48904163,0.31666476,0.41535202
-4.28175,5.2556796,-1.9879198,-14.899682,-2.5576267,4.750481,1.9124107,8.783156,-3.9203625,-4.3182163,0.49801773,1.1910847,0.7031142,0.39838856,0.40287176,0.42966416
-4.2530046,27.442602,7.138853,-7.8605623,17.896603,8.069633,3.0017958,9.28937,-0.9312507,-5.210907,-3.3529098,3.7274773,0.6837295,0.31112048,0.4329876,0.49823657
17.44045,41.858593,8.9977455,9.283545,35.35559,2.6808722,5.373686,8.046635,1.5954777,-7.1976237,1.1670034,6.604754,0.6507725,0.15061593,0.5141296,0.53803414
15.116836,21.281431,3.8043473,0.47608232,8.843429,-3.7181554,5.9749794,5.653214,5.339585,-6.0162463,6.523148,3.9469216,0.5093653,0.033975888,0.65817875,0.5533474
-7.3527536,-5.959951,-3.525817,-14.789579,-11.989006,-8.311904,4.1252007,4.7598696,7.516432,1.7708304,-0.42450047,-2.2880657,0.35187706,0.06454559,0.74467117,0.56345475
-2.2887118,-9.10761,-6.788459,-9.743818,-13.153955,-17.108154,3.7224545,6.109888,6.7069354,3.867269,-3.3422573,-2.2752826,0.36998808,0.12050523,0.7046266,0.59337056
-0.2908826,9.926863,8.533022,-3.5924478,0.55283165,1.9036317,4.047065,7.6473794,4.6161933,3.4443593,-4.0698323,-2.1453204,0.47739527,0.15048093,0.6207509,0.6034215
3.5131373,34.24576,4.6715107,-2.0514061,21.545534,14.576803,3.9275687,7.7093687,4.616299,2.9138582,-3.786472,-2.5586426,0.5046743,0.13716295,0.57088345,0.6329157
9.755754,12.825392,-2.3616145,-13.706841,-15.328739,-9.780191,3.8733187,8.285749,3.5375357,4.9165535,-5.099942,-0.5506211,0.59119815,0.09308533,0.45040214,0.6625389
7.6237783,16.37549,3.0425851,6.24005,10.225688,2.3385267,3.1374357,9.280529,0.44570443,4.655564,-2.8991077,-4.1011443,0.68205845,0.1499954,0.35979158,0.6187469
3.4556458,24.266197,2.8030374,-3.5600078,18.265854,7.337164,1.7745677,9.56938,-1.2034317,3.4880352,-1.4727197,-4.2801085,0.7189784,0.18451186,0.29485303,0.6017367
7.4225583,-0.114983425,5.931532,6.7579126,-8.017772,10.189742,-0.7048826,9.293962,-3.0489044,3.7405026,-2.6967075,-3.2499988,0.77364844,0.28160155,0.11590068,0.55563986
10.963076,-1.9738748,3.3204606,14.764039,-10.432749,2.669597,-0.79044014,8.905848,-4.02883,-1.4260255,0.14754605,3.3035026,0.7971537,0.26717943,0.11772903,0.5284893
-5.1297493,2.4529696,-0.7997624,-2.0788305,-7.9114847,3.4411287,0.40931332,9.41252,-2.7216365,-3.9709399,1.6090877,1.9910976,0.7988751,0.23263897,0.14704625,0.53484124
1.5823816,33.42651,1.0351741,-2.6685896,21.164001,1.3609095,0.5957787,9.617323,-1.82278,-5.898002,-2.1438358,4.8566566,0.7381432,0.19411846,0.20645438,0.61224115
7.1782193,41.89692,7.5173388,3.4446883,30.30348,4.4719768,4.3468375,8.379152,2.658045,-6.1962757,-1.8487577,5.6683874,0.66701055,0.065455,0.2569158,0.6962807
23.203972,21.755735,8.834852,5.718601,4.6371627,-11.283394,4.769936,5.947094,6.168482,-2.955744,10.064084,1.7588702,0.47685477,-0.05616263,0.47597265,0.7368211
-2.9642367,-6.8941875,-10.54936,-7.644822,-12.853697,-15.8095875,2.7643824,5.515767,7.6226563,1.704784,2.3920562,-0.3013494,0.33112335,0.056381322,0.5843054,0.7387596
-6.629319,-13.084105,-13.040658,-8.029207,-17.281792,-20.859016,2.5721755,5.8810396,7.4140186,2.8552687,-1.2575364,-1.192975,0.34774578,0.0950553,0.5785265,0.7316724
